Order,HouseFunctional,Lot Area,Gr Liv Area,SalePrice,Bsmt Cond,Bsmt Qual,Exter Cond,Exter Qual,Kitchen Qual,Overall Cond,Overall Qual
1,7,31770,1656,215000,5,4,2,2,2,5,6
2,7,11622,896,105000,4,4,2,2,2,6,5
3,7,14267,1329,172000,4,4,2,2,3,6,6
4,7,11160,2110,244000,4,4,2,3,4,5,7
5,7,13830,1629,189900,4,5,2,2,2,5,5
6,7,9978,1604,195500,4,4,2,2,3,6,6
7,7,4920,1338,213500,4,5,2,3,3,5,8
8,7,5005,1280,191500,4,5,2,3,3,5,8
9,7,5389,1616,236500,4,5,2,3,3,5,8
10,7,7500,1804,189000,4,4,2,2,3,5,7
11,7,10000,1655,175900,4,5,2,2,2,5,6
12,7,7980,1187,185000,4,5,3,2,2,7,6
13,7,8402,1465,180400,4,5,2,2,2,5,6
14,7,10176,1341,171500,4,5,2,2,3,5,7
15,7,6820,1502,212000,4,5,2,3,3,5,8
16,4,53504,3279,538000,4,5,2,4,4,5,8
17,7,12134,1752,164000,4,5,2,3,2,7,8
18,7,11394,1856,394432,4,5,2,3,4,2,9
19,7,19138,864,141000,4,4,2,2,2,5,4
20,6,13175,2073,210000,4,5,2,2,2,6,6
21,7,11751,1844,190000,4,5,2,2,2,6,6
22,7,10625,1173,170000,4,5,2,2,3,6,7
23,7,7500,1674,216000,4,5,2,3,3,5,7
24,7,11241,1004,149000,4,4,2,2,2,7,6
25,7,12537,1078,149900,4,4,2,2,2,6,5
26,7,8450,1056,142000,4,4,2,2,2,6,5
27,7,8400,882,126000,4,4,2,2,2,5,4
28,7,10500,864,115000,4,4,2,2,2,5,4
29,7,5858,1337,184000,4,5,2,3,3,5,7
30,7,1680,987,96000,4,4,2,2,2,5,6
31,7,1680,1092,105500,4,4,2,2,2,5,5
32,7,1680,1092,88000,4,4,2,2,2,5,6
33,7,4043,1069,127500,4,5,2,2,2,5,6
34,7,2280,1456,149900,4,4,2,2,3,6,6
35,7,2280,836,120000,4,5,2,2,2,6,7
36,7,2280,1456,146000,4,5,2,2,2,5,6
37,7,12858,2334,376162,4,5,2,4,4,5,9
38,7,11478,1704,306000,4,5,2,3,3,5,8
39,7,10159,1940,395192,4,5,2,4,4,5,9
40,7,12883,1544,290941,4,5,2,3,3,5,8
41,7,12182,1541,220000,4,5,2,3,3,5,7
42,7,11520,1698,275000,4,5,2,3,4,5,9
43,7,14122,1822,259000,4,5,2,3,4,5,8
44,7,10171,1535,214000,4,5,2,3,3,5,7
45,7,12919,2364,611657,4,5,2,4,4,5,9
46,7,6371,1358,224000,4,5,2,3,3,5,7
47,7,14300,2696,500000,4,5,2,4,4,5,9
48,7,13650,2250,320000,4,5,2,3,3,5,8
49,7,7658,1752,319900,4,5,2,4,4,5,9
50,7,7132,1370,205000,4,5,2,3,3,5,8
51,7,2628,1626,175500,4,5,2,3,3,5,7
52,7,18494,1324,199500,4,5,2,3,3,5,6
53,7,3203,1145,160000,4,5,2,3,3,5,7
54,7,3182,1269,192000,4,5,2,3,3,5,8
55,7,13300,1374,184500,4,5,2,3,3,5,7
56,7,7851,1960,216500,4,5,2,3,3,5,6
57,7,8577,1733,185088,4,5,2,3,3,5,7
58,7,7750,1430,180000,4,5,2,2,2,5,7
59,7,9505,2035,222500,4,5,2,3,3,5,7
60,7,14774,2599,333168,4,5,2,3,3,5,9
61,7,17433,2475,355000,4,5,2,3,3,5,8
62,7,10593,1720,260400,4,5,2,3,3,5,7
63,7,12256,2622,325000,4,5,2,3,3,5,8
64,7,11764,2270,290000,4,5,2,3,3,7,8
65,7,16770,1839,221000,4,5,2,3,2,5,7
66,7,14720,3238,410000,4,5,2,3,3,5,8
67,7,8987,1595,221500,4,5,2,3,3,5,8
68,7,9215,1218,204500,4,5,2,3,3,5,7
69,7,8640,1547,215200,4,5,2,2,3,5,7
70,7,9000,1566,262500,4,5,2,3,3,5,8
71,7,12552,1947,254900,4,5,2,3,3,5,7
72,7,10440,1468,271500,4,5,2,3,3,5,6
73,7,10142,2084,233000,4,5,2,3,3,5,7
74,7,11920,1659,181000,4,5,2,3,3,5,7
75,7,8880,2110,205000,4,5,2,3,3,5,7
76,7,8012,923,143000,4,5,2,2,2,5,6
77,7,11218,1845,189000,4,5,2,3,3,5,6
78,7,7892,918,99500,4,5,2,2,2,5,6
79,7,7175,752,125000,4,5,2,2,2,5,6
80,7,9453,1744,194500,4,5,2,3,3,7,7
81,7,9672,1097,152000,4,5,2,2,2,5,6
82,7,8400,1564,171000,4,5,2,2,2,6,6
83,7,9800,1012,67500,4,4,1,2,2,5,5
84,7,8930,1902,112000,0,0,2,2,2,5,6
85,5,11782,1155,148000,4,4,2,2,3,7,5
86,7,8450,894,138500,4,4,3,2,2,8,5
87,7,9819,900,122000,4,4,3,2,2,5,5
88,7,7500,1040,133000,4,4,2,2,2,5,5
89,7,6897,1040,127000,4,4,3,2,2,8,5
90,7,15410,1494,169000,4,4,3,2,2,6,6
91,7,10186,1923,190000,4,5,2,3,3,5,7
92,7,13143,2349,362500,4,5,2,3,3,5,8
93,7,11134,2225,285000,4,5,2,3,3,5,8
94,7,4835,1488,260000,4,5,2,3,3,5,7
95,7,3515,1680,190000,4,5,2,3,3,5,7
96,7,3215,1200,155000,4,5,2,3,3,5,7
97,7,3182,1200,151000,4,5,2,3,3,5,7
98,7,2544,1200,149500,4,5,2,3,3,5,7
99,7,2544,1236,152000,4,5,2,3,3,5,6
100,7,4403,1478,222000,4,5,2,4,3,5,7
101,7,2117,1573,177500,4,5,2,3,3,5,6
102,7,2980,1512,177000,4,5,2,3,3,5,6
103,7,2572,1416,155000,4,5,2,3,3,5,7
104,7,2403,1080,147110,4,5,2,3,3,5,7
105,7,12853,1418,267916,2,5,2,3,3,5,8
106,7,7379,1848,254000,4,5,2,3,3,5,8
107,7,4420,788,155000,4,5,2,3,3,5,8
108,7,3880,1226,206000,4,5,2,3,3,6,8
109,7,13517,1479,130500,4,4,2,3,3,8,6
110,7,8000,1492,230000,4,5,2,3,3,5,7
111,7,10456,1829,218500,4,4,2,2,2,6,6
112,7,10791,2495,243500,4,5,2,2,3,5,6
113,7,10603,1610,205000,4,4,2,2,3,7,6
114,7,18837,1891,212500,4,5,2,2,2,5,6
115,7,10421,1714,196500,4,5,2,2,2,5,7
116,7,9360,1381,197500,4,4,2,2,3,7,6
117,7,9600,1645,171000,4,4,2,2,2,6,6
118,7,9600,1232,142250,4,4,2,2,2,5,5
119,7,9790,1328,143000,4,4,2,2,2,5,6
120,7,9320,1225,128950,4,4,2,2,2,5,4
121,7,9900,1209,159000,4,5,2,2,2,5,5
122,7,9680,1510,178900,4,4,2,2,3,6,5
123,7,10600,1775,136300,4,4,2,2,2,5,6
124,7,14112,1152,180500,4,4,2,2,2,7,5
125,7,8800,1054,137500,4,4,3,2,3,7,6
126,7,13260,1728,84900,4,4,2,2,2,6,5
127,7,9717,1078,142125,4,4,2,2,3,6,5
128,5,9724,2461,197600,4,4,2,3,2,7,5
129,7,17360,1556,172500,4,4,3,2,2,6,6
130,7,7207,858,116500,4,4,3,2,2,7,5
131,4,5350,1306,76500,4,4,0,2,1,2,3
132,7,9920,1063,128000,4,4,2,2,2,5,5
133,7,9600,1520,153000,4,4,2,2,2,6,6
134,7,7800,1268,132000,4,4,2,2,2,6,5
135,7,11380,1128,178000,4,4,2,2,3,8,6
136,7,11600,2274,154300,4,4,2,2,2,5,5
137,6,19900,2207,180000,4,5,2,2,2,5,7
138,4,16492,1888,190000,4,4,2,3,3,6,6
139,7,8267,1604,135000,4,4,2,2,2,5,5
140,7,8197,1480,214000,4,5,2,3,3,5,7
141,7,8050,1143,136000,4,4,2,2,2,5,5
142,7,10552,1700,165500,4,4,2,2,3,5,5
143,7,8400,1314,145000,4,4,3,2,2,6,5
144,7,8760,1194,148000,4,4,2,2,2,6,6
145,7,12160,1188,142000,4,4,2,2,2,5,5
146,7,9300,1264,167500,4,4,2,2,2,5,5
147,7,10725,1206,108538,4,4,2,2,2,5,5
148,7,10032,1580,159500,4,4,2,2,2,5,6
149,7,8382,1337,108000,4,4,2,2,2,5,4
150,7,10950,1064,135000,4,4,2,2,1,7,5
151,7,10895,972,122500,4,4,3,2,2,6,5
152,7,13587,988,119000,4,4,2,2,2,5,5
153,7,7922,1057,109000,4,4,3,2,3,7,5
154,7,7898,985,105000,4,4,2,2,2,7,4
155,4,7200,827,107500,0,0,2,2,2,7,5
156,7,10200,1086,144900,4,4,2,2,2,7,5
157,7,5868,936,129000,4,4,2,2,2,7,5
158,7,17503,1458,97500,4,4,2,2,2,5,6
159,7,6979,1056,144000,4,4,2,2,2,5,6
160,7,9830,1287,162000,4,4,3,2,3,7,5
161,7,11275,2978,242000,4,5,3,3,3,7,7
162,7,8064,1224,132000,4,4,2,2,2,8,6
163,7,7500,1246,154000,4,4,2,2,3,7,5
164,7,8520,1385,166000,4,4,1,2,2,4,5
165,7,7200,900,134800,4,4,2,2,3,7,5
166,7,10000,1116,160000,4,4,2,2,2,6,6
167,7,7635,1175,148000,4,4,2,2,2,6,5
168,6,9760,1395,192000,4,4,2,2,2,7,6
169,7,7700,1839,155000,4,4,2,2,2,5,6
170,5,4800,1844,80400,4,4,2,2,2,5,4
171,5,8800,1140,96500,3,4,2,2,2,7,4
172,7,4485,936,109500,4,4,2,2,2,7,5
173,7,8960,1028,115000,4,4,2,2,2,6,5
174,7,5805,1347,143000,4,4,2,2,3,7,5
175,7,5790,1605,107400,4,3,3,3,2,6,3
176,7,4608,747,80000,4,4,3,2,2,6,4
177,7,7200,804,119000,4,4,3,2,3,7,5
178,7,5500,1316,130000,4,4,2,2,2,7,5
179,7,6900,1251,119000,4,5,2,2,1,7,6
180,7,11851,1633,129000,4,4,3,2,3,7,5
181,7,8239,1245,100000,4,4,2,2,2,6,5
182,7,9656,832,12789,3,3,1,2,2,2,2
183,7,8520,720,105900,4,4,3,2,2,8,6
184,7,9600,1566,150000,4,4,3,3,3,9,8
185,7,10800,1652,139000,4,3,3,2,2,6,5
186,7,9000,2268,240000,3,3,3,3,3,9,8
187,7,9045,2256,76500,4,4,1,2,1,3,5
188,7,7407,1236,149700,4,4,2,2,2,7,6
189,7,7740,1363,125500,4,3,2,2,2,7,4
190,7,11340,2290,122500,4,4,2,2,2,6,4
191,6,10560,1470,140750,4,3,2,2,2,7,6
192,7,5830,1612,128500,4,4,3,2,2,6,5
193,7,7793,2068,209500,4,5,2,2,3,7,7
194,7,5000,765,87000,4,4,2,2,3,7,4
195,7,6000,1132,134000,5,4,2,2,2,7,6
196,7,6000,1196,128000,4,4,3,2,2,6,6
197,5,6360,1453,132000,4,4,2,2,3,6,5
198,7,6000,1416,139900,4,4,2,2,2,7,6
199,7,6240,1040,123900,3,4,2,2,2,7,5
200,7,6240,1536,138400,4,4,2,2,2,5,5
201,7,6120,1068,109500,3,3,2,2,2,5,6
202,7,10300,1710,140000,4,4,2,2,2,6,7
203,7,8094,1962,149500,4,4,1,2,2,5,4
204,7,12900,1560,159900,4,4,3,3,3,8,6
205,7,3068,1324,122000,4,4,3,2,2,8,6
206,7,8472,816,110000,4,5,2,1,2,5,5
207,4,5600,1092,55000,0,0,1,1,1,5,4
208,7,7630,1812,140000,4,5,3,2,3,9,5
209,7,24090,2403,244400,4,4,3,2,2,7,7
210,7,15263,1675,173000,4,5,2,2,2,5,5
211,4,10632,1224,107500,3,5,2,2,0,3,5
212,7,9900,1392,100000,4,4,1,1,2,4,5
213,7,6001,919,95000,4,3,2,2,2,5,6
214,7,6449,1884,93369,4,4,2,2,2,1,4
215,7,6048,1680,114900,4,4,3,2,2,7,5
216,7,6342,1020,94000,4,4,3,2,2,8,5
217,7,10773,1832,136000,4,4,1,1,2,3,4
218,7,10778,1768,136500,4,4,2,2,2,5,4
219,7,11625,1039,131500,4,4,2,2,2,4,5
220,4,11341,1392,121500,4,5,2,2,2,6,5
221,7,8521,912,125000,4,4,2,2,2,5,5
222,7,8246,1060,154000,4,4,3,2,3,8,5
223,7,7800,892,137900,4,4,2,2,3,7,5
224,7,9364,1352,158000,4,4,2,2,2,7,6
225,7,7832,864,137250,4,4,2,2,2,5,5
226,7,7424,1373,160250,4,5,2,2,2,5,5
227,7,11227,1440,163000,5,4,3,2,2,5,5
228,7,11616,1386,158900,4,4,2,2,2,5,6
229,7,14000,2260,328000,4,5,2,3,3,5,7
230,7,20062,1483,270000,4,5,3,3,2,7,7
231,7,9259,756,85000,4,3,2,2,2,4,4
232,5,9600,1067,128000,4,5,2,2,3,7,4
233,7,23595,1524,260000,4,5,2,3,3,6,7
234,7,17082,1981,230000,4,5,2,2,3,5,6
235,7,18600,1610,124000,4,4,2,2,1,4,3
236,7,10625,835,83000,4,4,2,2,2,5,5
237,7,11479,1074,144500,4,4,2,2,3,7,6
238,7,9571,1144,129000,4,4,2,2,2,6,5
239,7,9350,1531,127000,3,4,2,2,2,6,4
240,7,9525,1172,128000,4,4,2,2,2,7,5
241,7,10420,1212,186000,4,5,2,2,3,5,6
242,7,17485,1508,308030,4,5,2,3,3,5,7
243,7,11200,1298,114000,4,4,1,2,2,3,5
244,7,11100,930,84900,0,0,2,2,3,7,4
245,7,9206,1732,178000,4,5,2,3,3,5,6
246,7,11980,1433,270000,4,5,2,3,3,5,7
247,7,12361,1802,218000,4,5,3,3,3,7,6
248,7,9938,1949,236000,4,5,2,3,3,5,7
249,7,9069,996,147000,4,5,2,2,3,6,6
