Order,HouseFunctional,Lot Area,Gr Liv Area,SalePrice,Bsmt Cond,Bsmt Qual,Exter Cond,Exter Qual,Kitchen Qual,Overall Cond,Overall Qual,Bsmt Unf SF,BsmtFin Type 1,BsmtFin Type 2,Central Air,Electrical,Exterior_AsbShng,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_PreCast,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Fireplace Qu,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Garage Cond,Garage Finish,Garage Qual,Half Bath,Heating QC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,House Style_1.5Unf,House Style_2.5Unf,HouseIsNew,HouseIsreModeled,Kitchen Qual,Low Qual Fin SF,MS SubClass,MS Zoning,Paved Drive,Pool QC,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Street_Grvl,Street_Pave,Utilities
1,7,31770,1656,215000,5,4,2,2,2,5,6,441.0,3,1,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4,0,1,0,0,0,0,3,3,3,0,1,0,1,0,0,0,0,0,0,0,0,2,0,20,6,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
2,7,11622,896,105000,4,4,2,2,2,6,5,270.0,2,2,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,0,1,0,0,0,0,3,1,3,0,2,0,1,0,0,0,0,0,0,0,0,2,0,20,4,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
3,7,14267,1329,172000,4,4,2,2,3,6,6,406.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,1,0,0,0,0,3,1,3,1,2,0,1,0,0,0,0,0,0,0,0,3,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
4,7,11160,2110,244000,4,4,2,3,4,5,7,1045.0,4,1,1,4,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,1,0,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,4,0,20,6,2,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3
5,7,13830,1629,189900,4,5,2,2,2,5,5,137.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0,1,0,0,0,3,3,3,1,3,0,1,0,0,0,0,0,0,0,1,2,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
6,7,9978,1604,195500,4,4,2,2,3,6,6,324.0,5,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4,0,0,1,0,0,0,3,3,3,1,4,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
7,7,4920,1338,213500,4,5,2,3,3,5,8,722.0,5,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,3,3,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
8,7,5005,1280,191500,4,5,2,3,3,5,8,1017.0,4,1,1,4,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,0,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
9,7,5389,1616,236500,4,5,2,3,3,5,8,415.0,5,1,1,4,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0,0,1,0,0,0,3,2,3,0,4,0,1,0,0,0,0,0,0,0,1,3,0,120,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
10,7,7500,1804,189000,4,4,2,2,3,5,7,994.0,1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3,0,0,1,0,0,0,3,3,3,1,3,0,1,0,0,0,0,0,0,0,0,3,0,60,6,2,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3
