Order,MS SubClass,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Exter Qual,Exter Cond,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Total Bsmt SF,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Yr Blt,Garage Finish,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Val,Mo Sold,Yr Sold,SalePrice,SalesPriceLog,Railroad_Adjacent,Railroad_Near,Street_Feeder,Street_Aterial,PosFeature_Adjacent,PosFeature_Near,NeighborhoodClass,MS Zoning_ord,Street_Grvl,Street_Pave,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,HouseAge,RemodelAge,IsreModeled,IsNew,TotalBathrooms,TotalPorchSF,Mas Vnr Type_,Mas Vnr Type_BrkCmn,Mas Vnr Type_BrkFace,Mas Vnr Type_CBlock,Mas Vnr Type_None,Mas Vnr Type_Stone,Roof Matl_ClyTile,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Misc Feature_Elev,Misc Feature_Gar2,Misc Feature_NA,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,Exterior_AsbShng,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_PreCast,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Garage Type_2Types,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_NA,GarageAge,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD
1,20,141.0,31770,0,2,3,4,2,3,6,5,1960,1960,112.0,0,0,2.5,3.0,3.0,3.0,639.0,1.0,0.0,639.0,1,1,4.0,1656,0,0,1656,1.0,1.0,1,0,3,1,0,7,7,2,3.0,1960.0,3.0,3.0,3.0,1,210,62,0,0,0,0,0,0,0,5,2010,215000,12.2783933071098,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,50,50,1,0,2.0,272,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,50.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
2,20,80.0,11622,0,3,3,4,3,3,5,6,1961,1961,0.0,0,0,2.5,2.5,0.0,2.0,468.0,2.0,144.0,612.0,2,1,4.0,896,0,0,896,0.0,0.0,1,0,2,1,0,5,7,0,0.0,1961.0,1.0,3.0,3.0,2,140,0,0,0,120,0,0,2,0,6,2010,105000,11.56171562913966,0.0,0.0,1.0,0.0,0.0,0.0,1,5,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,49,49,1,0,1.0,260,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,49.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
3,20,81.0,14267,0,2,3,4,2,3,6,6,1958,1958,108.0,0,0,2.5,2.5,0.0,3.5,923.0,1.0,0.0,923.0,2,1,4.0,1329,0,0,1329,0.0,0.0,1,1,3,1,1,6,7,0,0.0,1958.0,1.0,3.0,3.0,2,393,36,0,0,0,0,0,0,12500,6,2010,172000,12.05524975579559,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,52,52,1,0,1.5,429,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,False,True,False,False,False,False,False,52.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
4,20,93.0,11160,0,3,3,4,2,3,7,5,1968,1968,0.0,1,0,2.5,2.5,0.0,3.5,1065.0,1.0,0.0,1065.0,4,1,4.0,2110,0,0,2110,1.0,1.0,2,1,3,1,4,8,7,2,2.5,1968.0,3.0,3.0,3.0,2,0,0,0,0,0,0,0,0,0,4,2010,244000,12.404923504275338,0.0,0.0,0.0,0.0,0.0,0.0,1,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,42,42,1,0,3.5,0,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,42.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
5,60,74.0,13830,0,2,3,4,3,3,5,5,1997,1998,0.0,0,0,3.0,2.5,0.0,4.0,791.0,1.0,0.0,791.0,3,1,4.0,928,701,0,1629,0.0,0.0,2,1,3,1,0,6,7,1,2.5,1997.0,3.0,3.0,3.0,2,212,34,0,0,0,0,0,2,0,3,2010,189900,12.154252896800378,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,13,12,0,0,2.5,246,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,13.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
6,60,78.0,9978,0,2,3,4,3,3,6,6,1998,1998,20.0,0,0,2.5,2.5,0.0,4.0,602.0,1.0,0.0,602.0,4,1,4.0,926,678,0,1604,0.0,0.0,2,1,3,1,1,7,7,1,3.0,1998.0,3.0,3.0,3.0,2,360,36,0,0,0,0,0,0,0,6,2010,195500,12.183315658407558,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,12,12,1,0,2.5,396,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,12.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
7,120,41.0,4920,0,3,3,4,3,3,8,5,2001,2001,0.0,1,0,3.0,2.5,1.0,4.0,616.0,1.0,0.0,616.0,4,1,4.0,1338,0,0,1338,1.0,1.0,2,0,2,1,1,6,7,0,0.0,2001.0,3.0,3.0,3.0,2,0,0,170,0,0,0,0,0,0,4,2010,213500,12.271392111650817,0.0,0.0,0.0,0.0,0.0,0.0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,9,9,1,0,3.0,170,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,9.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
8,120,43.0,5005,0,2,1,4,3,3,8,5,1992,1992,0.0,1,0,3.0,2.5,0.0,3.5,263.0,1.0,0.0,263.0,4,1,4.0,1280,0,0,1280,0.0,0.0,2,0,2,1,1,5,7,0,0.0,1992.0,2.0,3.0,3.0,2,0,82,0,0,144,0,0,0,0,1,2010,191500,12.162643087602838,0.0,0.0,0.0,0.0,0.0,0.0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,18,18,1,0,2.0,226,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,18.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
9,120,39.0,5389,0,2,3,4,3,3,8,5,1995,1996,0.0,1,0,3.0,2.5,0.0,4.0,1180.0,1.0,0.0,1180.0,4,1,4.0,1616,0,0,1616,1.0,1.0,2,0,2,1,1,5,7,1,2.5,1995.0,2.0,3.0,3.0,2,237,152,0,0,0,0,0,0,0,3,2010,236500,12.373703486914124,0.0,0.0,0.0,0.0,0.0,0.0,3,7,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,15,14,0,0,3.0,389,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False,True,False,False,False,False,False,15.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
10,60,60.0,7500,0,3,3,4,3,3,7,5,1999,1999,0.0,0,0,2.5,2.5,0.0,1.0,0.0,1.0,0.0,0.0,3,1,4.0,1028,776,0,1804,0.0,0.0,2,1,3,1,1,7,7,1,2.5,1999.0,3.0,3.0,3.0,2,140,60,0,0,0,0,0,0,0,6,2010,189000,12.14950229404178,0.0,0.0,0.0,0.0,0.0,0.0,2,7,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False,11,11,1,0,2.5,200,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,False,True,False,False,False,False,False,11.0,False,False,True,False,False,False,False,False,False,False,False,False,False,True
