1st Flr SF,2nd Flr SF,3Ssn Porch,Alley,BathroomsTotal,Bedroom AbvGr,Bldg Type_1Fam,Bldg Type_2fmCon,Bldg Type_Duplex,Bldg Type_Twnhs,Bldg Type_TwnhsE,Bsmt Cond,Bsmt Exposure,Bsmt Full Bath,Bsmt Half Bath,Bsmt Qual,Bsmt Unf SF,BsmtFin SF 1,BsmtFin SF 2,BsmtFin Type 1,BsmtFin Type 2,Central Air,Electrical,Enclosed Porch,Exter Cond,Exter Qual,Exterior_AsbShng,Exterior_BrkComm,Exterior_BrkFace,Exterior_CBlock,Exterior_CemntBd,Exterior_HdBoard,Exterior_ImStucc,Exterior_MetalSd,Exterior_Plywood,Exterior_PreCast,Exterior_Stone,Exterior_Stucco,Exterior_VinylSd,Exterior_Wd Sdng,Exterior_WdShing,Fence,Fireplace Qu,Fireplaces,Foundation_BrkTil,Foundation_CBlock,Foundation_PConc,Foundation_Slab,Foundation_Stone,Foundation_Wood,Full Bath,Functional,Functional_bin,Garage Area,Garage Cars,Garage Cond,Garage Finish,Garage Qual,Garage Type_2Types,Garage Type_Attchd,Garage Type_Basment,Garage Type_BuiltIn,Garage Type_CarPort,Garage Type_Detchd,Garage Type_None,GarageAge,Gr Liv Area,Half Bath,Heating QC,Heating_Floor,Heating_GasA,Heating_GasW,Heating_Grav,Heating_OthW,Heating_Wall,House Style_1.5Fin,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,HouseAge,HouseIsNew,HouseIsreModeled,HouseRemodelAge,Kitchen AbvGr,Kitchen Qual,Land Contour,Land Slope,Lot Area,Lot Config,Lot Frontage,Lot Shape,Low Qual Fin SF,MS SubClass,MS Zoning,Mas Vnr Area,Misc Feature_Gar2,Misc Feature_NA,Misc Feature_Othr,Misc Feature_Shed,Misc Feature_TenC,Misc Val,NeighborhoodClass,Neighborhood_Blmngtn,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,Open Porch SF,Order,Overall Cond,Overall Qual,Paved Drive,Pool Area,Pool QC,PorchSFTotal,PosFeature_Adjacent,PosFeature_Near,Railroad_Adjacent,Railroad_Near,RenovationNeeded,Roof Matl_CompShg,Roof Matl_Membran,Roof Matl_Metal,Roof Matl_Roll,Roof Matl_Tar&Grv,Roof Matl_WdShake,Roof Matl_WdShngl,Roof Style_Flat,Roof Style_Gable,Roof Style_Gambrel,Roof Style_Hip,Roof Style_Mansard,Roof Style_Shed,Sale Condition_Abnorml,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Family,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD,SalePrice,Screen Porch,Street_Aterial,Street_Feeder,Street_Grvl,Street_Pave,TotRms AbvGrd,Total Bsmt SF,Utilities,Wood Deck SF
1656,0,0,0,2.0,3,True,False,False,False,False,5,3,1.0,1.0,4,441.0,639.0,0.0,3,1,1,4,0,2,2,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,2,False,True,False,False,False,False,1,7,1,528.0,2.0,3,3,3,False,True,False,False,False,False,False,50,1656,0,1,False,True,False,False,False,False,False,False,True,False,False,False,False,False,50,0,0,50,1,2,5,5,31770,2,141.0,2,0,20,6,112.0,False,True,False,False,False,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,62,1,5,6,1,0,0,272,0,0,0,0,1,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,215000,0,0,0,False,True,7,639.0,3,210
896,0,0,0,1.0,2,True,False,False,False,False,4,0,0.0,0.0,4,270.0,468.0,144.0,2,2,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,0,0,False,True,False,False,False,False,1,7,1,730.0,1.0,3,1,3,False,True,False,False,False,False,False,49,896,0,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,49,0,0,49,1,2,5,5,11622,3,80.0,5,0,20,4,0.0,False,True,False,False,False,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,2,6,5,2,0,0,260,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,105000,120,0,1,False,True,5,612.0,3,140
1329,0,0,0,1.5,3,True,False,False,False,False,4,0,0.0,0.0,4,406.0,923.0,0.0,4,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0,0,0,False,True,False,False,False,False,1,7,1,312.0,1.0,3,1,3,False,True,False,False,False,False,False,52,1329,1,2,False,True,False,False,False,False,False,False,True,False,False,False,False,False,52,0,0,52,1,3,5,5,14267,2,81.0,2,0,20,6,108.0,True,False,False,False,False,12500,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,36,3,6,6,2,0,0,429,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,172000,0,0,0,False,True,6,923.0,3,393
2110,0,0,0,3.5,3,True,False,False,False,False,4,0,1.0,1.0,4,1045.0,1065.0,0.0,4,1,1,4,0,2,3,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,2,False,True,False,False,False,False,2,7,1,522.0,2.0,3,3,3,False,True,False,False,False,False,False,42,2110,1,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,42,0,0,42,1,4,5,5,11160,2,93.0,5,0,20,6,0.0,False,True,False,False,False,0,1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,0,4,5,7,2,0,0,0,0,0,0,0,0,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,244000,0,0,0,False,True,8,1065.0,3,0
928,701,0,0,2.5,3,True,False,False,False,False,4,0,0.0,0.0,5,137.0,791.0,0.0,5,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2,3,1,False,False,True,False,False,False,2,7,1,482.0,2.0,3,3,3,False,True,False,False,False,False,False,13,1629,1,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,13,0,1,12,1,2,5,5,13830,3,74.0,2,0,60,6,0.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,34,5,5,5,2,0,0,246,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,189900,0,0,0,False,True,6,791.0,3,212
926,678,0,0,2.5,3,True,False,False,False,False,4,0,0.0,0.0,4,324.0,602.0,0.0,5,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,4,1,False,False,True,False,False,False,2,7,1,470.0,2.0,3,3,3,False,True,False,False,False,False,False,12,1604,1,4,False,True,False,False,False,False,False,False,False,False,False,True,False,False,12,0,0,12,1,3,5,5,9978,3,78.0,2,0,60,6,20.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,36,6,6,6,2,0,0,396,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,195500,0,0,0,False,True,7,602.0,3,360
1338,0,0,0,3.0,2,False,False,False,False,True,4,1,1.0,1.0,5,722.0,616.0,0.0,5,1,1,4,170,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,True,False,False,False,2,7,1,582.0,2.0,3,3,3,False,True,False,False,False,False,False,9,1338,0,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,9,0,0,9,1,3,5,5,4920,3,41.0,5,0,120,6,0.0,False,True,False,False,False,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,0,7,5,8,2,0,0,170,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,213500,0,0,0,False,True,6,616.0,3,0
1280,0,0,0,2.0,2,False,False,False,False,True,4,0,0.0,0.0,5,1017.0,263.0,0.0,4,1,1,4,0,2,3,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,False,False,True,False,False,False,2,7,1,506.0,2.0,3,2,3,False,True,False,False,False,False,False,18,1280,0,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,18,0,0,18,1,3,1,5,5005,3,43.0,2,0,120,6,0.0,False,True,False,False,False,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,82,8,5,8,2,0,0,226,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,191500,144,0,0,False,True,5,263.0,3,0
1616,0,0,0,3.0,2,False,False,False,False,True,4,0,1.0,1.0,5,415.0,1180.0,0.0,5,1,1,4,0,2,3,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,3,1,False,False,True,False,False,False,2,7,1,608.0,2.0,3,2,3,False,True,False,False,False,False,False,15,1616,0,4,False,True,False,False,False,False,False,False,True,False,False,False,False,False,15,0,1,14,1,3,5,5,5389,3,39.0,2,0,120,6,0.0,False,True,False,False,False,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,152,9,5,8,2,0,0,389,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,236500,0,0,0,False,True,5,1180.0,3,237
1028,776,0,0,2.5,3,True,False,False,False,False,4,0,0.0,0.0,4,994.0,0.0,0.0,1,1,1,4,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0,3,1,False,False,True,False,False,False,2,7,1,442.0,2.0,3,3,3,False,True,False,False,False,False,False,11,1804,1,3,False,True,False,False,False,False,False,False,False,False,False,True,False,False,11,0,0,11,1,3,5,5,7500,3,60.0,5,0,60,6,0.0,False,True,False,False,False,0,2,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,60,10,5,7,2,0,0,200,0,0,0,0,0,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,189000,0,0,0,False,True,7,0.0,3,140
