Order,Lot Area,Gr Liv Area,Overall Qual,Exter Qual,Kitchen Qual,Garage Area,PorchSFTotal,BathroomsTotal,HouseAge,HouseRemodelAge,Total Bsmt SF,Railroad_Near,Railroad_Adjacent,NeighborhoodClass,Sale Condition_Alloca,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD,SalePrice
1,31770,1656,6,2,2,528.0,272,2.0,50,50,639.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,215000
2,11622,896,5,2,2,730.0,260,1.0,49,49,612.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,105000
3,14267,1329,6,2,3,312.0,429,1.5,52,52,923.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,172000
4,11160,2110,7,3,4,522.0,0,3.5,42,42,1065.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,244000
5,13830,1629,5,2,2,482.0,246,2.5,13,12,791.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,189900
6,9978,1604,6,2,3,470.0,396,2.5,12,12,602.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,195500
7,4920,1338,8,3,3,582.0,170,3.0,9,9,616.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,213500
8,5005,1280,8,3,3,506.0,226,2.0,18,18,263.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,191500
9,5389,1616,8,3,3,608.0,389,3.0,15,14,1180.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,236500
10,7500,1804,7,2,3,442.0,200,2.5,11,11,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,189000
11,10000,1655,6,2,2,440.0,241,2.5,17,16,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,175900
12,7980,1187,6,2,2,420.0,504,3.0,18,3,935.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,185000
13,8402,1465,6,2,2,393.0,75,2.5,12,12,0.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,180400
14,10176,1341,7,2,3,506.0,192,2.5,20,20,637.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,171500
15,6820,1502,8,3,3,528.0,194,2.5,25,25,1488.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,212000
16,53504,3279,8,4,4,841.0,749,4.5,7,7,1416.0,0,0,3,0,1,0,0,0,0,0,0,0,0,0,1,538000
17,12134,1752,8,3,2,492.0,337,2.0,22,5,427.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,164000
18,11394,1856,9,3,4,834.0,113,2.5,0,0,1445.0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,394432
19,19138,864,4,2,2,400.0,0,1.0,59,59,120.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,141000
20,13175,2073,6,2,2,500.0,349,3.0,32,22,953.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,210000
21,11751,1844,6,2,2,546.0,122,2.0,33,33,705.0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,190000
22,10625,1173,7,2,3,528.0,120,3.0,36,36,1053.0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,170000
23,7500,1674,7,3,3,663.0,96,3.5,10,10,533.0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,1,216000
24,11241,1004,6,2,2,480.0,0,2.0,40,40,578.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149000
25,12537,1078,5,2,2,500.0,0,2.5,39,2,734.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149900
26,8450,1056,5,2,2,304.0,269,2.0,42,42,775.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,142000
27,8400,882,4,2,2,525.0,240,2.0,40,40,882.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,126000
28,10500,864,4,2,2,0.0,0,1.0,39,39,432.0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,115000
29,5858,1337,7,3,3,511.0,271,3.0,11,11,1051.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,184000
30,1680,987,6,2,2,264.0,275,1.5,39,39,156.0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,96000
31,1680,1092,5,2,2,320.0,0,1.5,39,39,300.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,105500
32,1680,1092,6,2,2,264.0,0,1.5,39,39,0.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,88000
33,4043,1069,6,2,2,440.0,220,2.0,33,33,360.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,127500
34,2280,1456,6,2,3,440.0,173,2.5,35,35,514.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,149900
35,2280,836,7,2,2,308.0,30,1.0,35,35,0.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,120000
36,2280,1456,6,2,2,440.0,26,2.5,32,32,311.0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,146000
37,12858,2334,9,4,4,751.0,277,2.5,1,0,0.0,0,0,3,0,0,1,0,0,0,0,0,1,0,0,0,376162
