Order,SalePrice,Lot Area,Gr Liv Area,Overall Qual,Exter Qual,Kitchen Qual,Garage Area,PorchSFTotal,BathroomsTotal,HouseAge,HouseRemodelAge,Total Bsmt SF,Railroad_Near,Railroad_Adjacent,Sale Condition_AdjLand,Sale Condition_Alloca,Sale Condition_Normal,Sale Condition_Partial,Sale Type_COD,Sale Type_CWD,Sale Type_Con,Sale Type_ConLD,Sale Type_ConLI,Sale Type_ConLw,Sale Type_New,Sale Type_Oth,Sale Type_VWD,Sale Type_WD
1,215000,381240,19872,72,24,24,6336.0,3264,24.0,600,600,7668.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
2,105000,139464,10752,60,24,24,8760.0,3120,12.0,588,588,7344.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
3,172000,171204,15948,72,24,36,3744.0,5148,18.0,624,624,11076.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
4,244000,133920,25320,84,36,48,6264.0,0,42.0,504,504,12780.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
5,189900,221280,26064,80,32,32,7712.0,3936,40.0,208,192,12656.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
6,195500,159648,25664,96,32,48,7520.0,6336,40.0,192,192,9632.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
7,213500,137760,37464,224,84,84,16296.0,4760,84.0,252,252,17248.0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28
8,191500,140140,35840,224,84,84,14168.0,6328,56.0,504,504,7364.0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28
9,236500,150892,45248,224,84,84,17024.0,10892,84.0,420,392,33040.0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28
10,189000,120000,28864,112,32,48,7072.0,3200,40.0,176,176,0.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
11,175900,160000,26480,96,32,32,7040.0,3856,40.0,272,256,0.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
12,185000,127680,18992,96,32,32,6720.0,8064,48.0,288,48,14960.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
13,180400,134432,23440,96,32,32,6288.0,1200,40.0,192,192,0.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
14,171500,162816,21456,112,32,48,8096.0,3072,40.0,320,320,10192.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
15,212000,190960,42056,224,84,84,14784.0,5432,70.0,700,700,41664.0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28
16,538000,1498112,91812,224,112,112,23548.0,20972,126.0,196,196,39648.0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,28
17,164000,194144,28032,128,48,32,7872.0,5392,32.0,352,80,6832.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
18,394432,319032,51968,252,84,112,23352.0,3164,70.0,0,0,40460.0,0,0,0,0,0,28,0,0,0,0,0,0,28,0,0,0
19,141000,306208,13824,64,32,32,6400.0,0,16.0,944,944,1920.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
20,210000,197625,31095,90,30,30,7500.0,5235,45.0,480,330,14295.0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,15
21,190000,176265,27660,90,30,30,8190.0,1830,30.0,495,495,10575.0,0,0,0,0,15,0,15,0,0,0,0,0,0,0,0,0
22,170000,159375,17595,105,30,45,7920.0,1800,45.0,540,540,15795.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
23,216000,165000,36828,154,66,66,14586.0,2112,77.0,220,220,11726.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
24,149000,134892,12048,72,24,24,5760.0,0,24.0,480,480,6936.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
25,149900,150444,12936,60,24,24,6000.0,0,30.0,468,24,8808.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
26,142000,101400,12672,60,24,24,3648.0,3228,24.0,504,504,9300.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
27,126000,100800,10584,48,24,24,6300.0,2880,24.0,480,480,10584.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
28,115000,126000,10368,48,24,24,0.0,0,12.0,468,468,5184.0,0,0,0,0,12,0,0,0,0,0,12,0,0,0,0,0
29,184000,70296,16044,84,36,36,6132.0,3252,36.0,132,132,12612.0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,12
30,96000,5040,2961,18,6,6,792.0,825,4.5,117,117,468.0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0
31,105500,5040,3276,15,6,6,960.0,0,4.5,117,117,900.0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,3
32,88000,5040,3276,18,6,6,792.0,0,4.5,117,117,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
33,127500,40430,10690,60,20,20,4400.0,2200,20.0,330,330,3600.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
34,149900,22800,14560,60,20,30,4400.0,1730,25.0,350,350,5140.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
35,120000,22800,8360,70,20,20,3080.0,300,10.0,350,350,0.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
36,146000,22800,14560,60,20,20,4400.0,260,25.0,320,320,3110.0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,10
37,376162,347166,63018,243,108,108,20277.0,7479,67.5,27,0,0.0,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0
38,306000,309906,46008,216,81,81,20844.0,1350,81.0,81,54,32886.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
39,395192,274293,52380,243,108,108,16362.0,7101,94.5,27,0,44442.0,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0
40,290941,347841,41688,216,81,81,23436.0,945,54.0,27,0,0.0,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0
41,220000,328914,41607,189,81,81,14364.0,1890,54.0,135,135,32427.0,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0
42,275000,311040,45846,243,81,108,19710.0,7182,54.0,135,135,2970.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
43,259000,381294,49194,216,81,108,18306.0,3213,54.0,135,108,756.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
44,214000,274617,41445,189,81,81,14364.0,0,54.0,162,162,54.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
45,611657,348813,63828,243,108,108,22140.0,1809,94.5,27,0,59076.0,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0
46,224000,172017,36666,189,81,81,13068.0,6129,81.0,27,0,19791.0,0,0,0,0,0,27,0,0,0,0,0,0,27,0,0,0
47,500000,386100,72792,243,108,108,25866.0,9990,94.5,189,162,37071.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
48,320000,368550,60750,216,81,81,20412.0,9936,94.5,216,216,15606.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
49,319900,206766,47304,243,108,108,15552.0,7506,81.0,135,135,12312.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
50,205000,192564,36990,216,81,81,13068.0,4563,54.0,108,108,648.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
51,175500,70956,43902,189,81,81,12798.0,729,67.5,189,189,0.0,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,27
52,199500,295904,21184,96,48,48,6880.0,944,32.0,80,80,0.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
53,160000,57654,20610,126,54,54,7866.0,3888,36.0,72,72,288.0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18
54,192000,57276,22842,144,54,54,7740.0,5580,36.0,108,90,432.0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,18
55,184500,212800,21984,112,48,48,6400.0,1600,56.0,96,96,5216.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
56,216500,125616,31360,96,48,48,7040.0,5376,56.0,128,128,10000.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
57,185088,137232,27728,112,48,48,6928.0,3072,40.0,96,96,0.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
58,180000,124000,22880,112,32,32,6400.0,2880,40.0,160,160,4000.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
59,222500,152080,32560,112,48,48,6944.0,3072,40.0,144,144,0.0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,16
60,333168,384124,67574,234,78,78,20254.0,18148,65.0,286,286,0.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
61,355000,453258,64350,208,78,78,25012.0,11726,65.0,312,312,0.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
62,260400,275418,44720,182,78,78,13702.0,11700,78.0,364,364,23894.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
63,325000,318656,68172,208,78,78,18512.0,5668,91.0,416,390,26832.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
64,290000,305864,59020,208,78,78,17446.0,4914,65.0,286,78,13624.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
65,221000,436020,47814,182,78,52,12636.0,2106,65.0,312,312,0.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
66,410000,382720,84188,208,78,78,17316.0,9594,91.0,390,364,21216.0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,26
67,221500,197714,35090,176,66,66,19360.0,3168,44.0,110,88,0.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
68,204500,202730,26796,154,66,66,14872.0,2992,44.0,22,0,0.0,0,0,0,0,0,22,0,0,0,0,0,0,22,0,0,0
69,215200,190080,34034,154,44,66,13508.0,4708,55.0,22,22,528.0,0,0,0,0,22,0,0,0,22,0,0,0,0,0,0,0
70,262500,198000,34452,176,66,66,16500.0,6864,66.0,44,44,23716.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
71,254900,276144,42834,154,66,66,14916.0,2992,55.0,132,110,4884.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
72,271500,229680,32296,132,66,66,11616.0,6996,66.0,110,110,31108.0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,22
73,233000,141988,29176,98,42,42,8652.0,630,49.0,84,84,9184.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
74,181000,166880,23226,98,42,42,6776.0,2968,35.0,84,84,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
75,205000,124320,29540,98,42,42,6482.0,1820,49.0,224,112,9730.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
76,143000,112168,12922,84,28,28,3696.0,1120,28.0,420,420,9268.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
77,189000,157052,25830,84,42,42,6468.0,10346,35.0,252,252,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
78,99500,110488,12852,84,28,28,3696.0,392,28.0,434,434,0.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
79,125000,100450,10528,84,28,28,3696.0,6202,28.0,364,364,10416.0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,14
